t,x,y
0.0,92,192
0.041666666666666664,91,191
0.08333333333333333,91,192
0.125,92,191
0.16666666666666666,92,190
0.20833333333333331,92,191
0.24999999999999997,92,191
0.29166666666666663,91,192
0.3333333333333333,91,192
0.375,91,194
0.4166666666666667,94,203
0.45833333333333337,97,223
0.5,97,255
0.5416666666666666,97,255
0.5833333333333333,97,297
0.6249999999999999,97,352
0.6666666666666665,94,415
0.7083333333333331,96,494
0.7499999999999998,96,581
0.7916666666666664,96,581
0.833333333333333,95,676
0.8749999999999997,95,787
0.9166666666666663,98,892
0.9583333333333329,98,892
0.9999999999999996,96,834
1.0416666666666663,92,755
1.083333333333333,88,683
1.1249999999999998,85,623
1.1666666666666665,84,623
1.2083333333333333,82,572
1.25,79,528
1.2916666666666667,76,496
1.3333333333333335,73,476
1.3750000000000002,73,475
1.416666666666667,71,465
1.4583333333333337,68,463
1.5000000000000004,66,473
1.5416666666666672,62,494
1.583333333333334,62,494
1.6250000000000007,61,525
1.6666666666666674,58,567
1.7083333333333341,54,620
1.7500000000000009,53,680
1.7916666666666676,53,680
1.8333333333333344,50,753
1.875000000000001,48,836
1.9166666666666679,47,878
1.9583333333333346,46,817
2.0000000000000013,46,817
2.041666666666668,44,762
2.0833333333333344,42,719
2.125000000000001,41,692
2.1666666666666674,39,674
2.208333333333334,39,674
2.2500000000000004,36,666
2.291666666666667,34,665
2.3333333333333335,31,677
2.375,29,699
2.4166666666666665,29,699
2.458333333333333,27,731
2.4999999999999996,25,773
2.541666666666666,23,824
2.5833333333333326,22,884
2.624999999999999,22,884
2.6666666666666656,21,866
2.708333333333332,21,829
2.7499999999999987,20,796
2.791666666666665,19,775
2.8333333333333317,19,775
2.8749999999999982,18,763
2.9166666666666647,18,762
2.9583333333333313,18,770
2.999999999999998,18,789
3.0416666666666643,18,789
3.083333333333331,17,817
3.1249999999999973,17,855
3.166666666666664,16,893
3.2083333333333304,17,863
3.249999999999997,17,863
3.2916666666666634,17,838
3.33333333333333,17,823
3.3749999999999964,18,816
3.416666666666663,18,820
3.4583333333333295,18,820
3.499999999999996,19,834
3.5416666666666625,22,858
3.583333333333329,22,890
3.6249999999999956,24,878
3.666666666666662,24,878
3.7083333333333286,26,860
3.749999999999995,27,853
3.7916666666666616,30,856
3.833333333333328,32,867
3.8749999999999947,32,867
3.916666666666661,34,890
3.9583333333333277,34,887
3.9999999999999942,34,875
4.041666666666661,34,874
4.083333333333328,34,873
4.124999999999995,33,881
4.166666666666662,33,894
4.208333333333329,35,886
4.249999999999996,36,885
4.2916666666666625,36,885
4.3333333333333295,38,893
4.3749999999999964,38,890
4.416666666666663,38,891
4.45833333333333,39,892
4.499999999999997,39,892
4.541666666666664,39,893
